MSSubClass,LotFrontage,LotArea,LotShape,Utilities,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,Magic,Target
90,60.0,7200,3,3,2,5,5,1980,1980,180.0,3,3,4.0,3.0,4.0,5.0,936,0.0,0,0,936,3,4.0,936,0,0,936,1,0,1,0,2,1,3,4,7,0,0.0,1.0,2,672,3.0,3.0,2,49,0,0,0,0,0,0.0,0.0,0,8,2007,-1,11.568873529661033
20,73.0,8925,2,3,2,8,5,2007,2007,0.0,4,3,4.0,3.0,3.0,5.0,16,0.0,0,1450,1466,5,4.0,1466,0,0,1466,0,0,2,0,3,1,4,7,7,0,0.0,3.0,3,610,3.0,3.0,2,100,18,0,0,0,0,0.0,0.0,0,7,2009,0,12.211060187041213
120,41.0,5330,3,3,2,8,5,2000,2000,0.0,4,3,4.0,3.0,3.0,5.0,1196,0.0,0,298,1494,5,4.0,1652,0,0,1652,1,0,2,0,2,1,5,6,7,0,0.0,2.0,2,499,3.0,3.0,2,96,48,0,0,0,0,0.0,0.0,0,8,2007,-1,12.275388948711116
20,87.0,11146,2,3,2,8,5,2006,2006,250.0,4,3,5.0,3.0,3.0,0.0,0,0.0,0,1709,1709,5,4.0,1717,0,0,1717,0,0,2,0,3,1,4,7,7,1,4.0,2.0,3,908,3.0,3.0,2,169,39,0,0,0,0,0.0,0.0,0,7,2009,1,12.578822817533805
60,70.0,8400,3,3,2,8,6,2001,2001,0.0,4,3,4.0,3.0,1.0,5.0,643,0.0,0,167,810,5,4.0,810,855,0,1665,1,0,2,1,3,1,4,6,7,0,0.0,3.0,2,528,3.0,3.0,2,0,45,0,0,0,0,0.0,0.0,0,11,2009,-1,12.168833743944484
60,68.0,10769,2,3,2,8,5,2007,2007,0.0,4,3,4.0,3.0,3.0,5.0,20,0.0,0,846,866,5,4.0,866,902,0,1768,0,0,2,1,3,1,4,7,7,0,0.0,2.0,2,578,3.0,3.0,2,144,105,0,0,0,0,0.0,0.0,0,4,2009,1,12.41329248933592
60,92.0,12003,3,3,2,8,5,2009,2010,84.0,4,3,5.0,3.0,1.0,0.0,0,0.0,0,774,774,5,4.0,774,1194,0,1968,0,0,2,1,4,1,5,8,7,1,4.0,3.0,3,680,3.0,3.0,2,0,75,0,0,0,0,0.0,0.0,0,5,2010,1,12.62798125820713
60,76.0,9591,3,3,2,8,5,2004,2005,344.0,4,3,5.0,3.0,3.0,0.0,0,0.0,0,1143,1143,5,4.0,1143,1330,0,2473,0,0,2,1,4,1,4,9,7,1,4.0,2.0,3,852,3.0,3.0,2,192,151,0,0,0,0,0.0,0.0,0,10,2007,1,12.77523200558829
20,80.0,9600,3,3,2,7,5,1969,1969,168.0,3,3,3.0,3.0,1.0,0.0,0,0.0,0,1164,1164,3,4.0,1164,0,0,1164,0,0,1,1,3,1,3,6,7,0,0.0,1.0,2,528,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,7,2006,1,12.071484110690852
20,80.0,10400,3,3,2,7,5,1988,1988,102.0,3,3,4.0,3.0,3.0,5.0,929,0.0,0,916,1845,4,4.0,1872,0,0,1872,0,1,2,0,3,1,3,6,7,1,3.0,3.0,2,604,3.0,3.0,2,197,39,0,0,0,0,0.0,0.0,0,6,2006,-1,12.239674241530214
60,84.03980099502488,11170,1,3,2,7,5,1990,1991,0.0,3,3,4.0,3.0,1.0,1.0,1216,0.0,0,0,1216,5,4.0,1298,1216,0,2514,0,0,2,1,4,1,3,8,7,0,0.0,3.0,2,693,3.0,3.0,2,0,0,0,0,0,0,0.0,4.0,0,4,2006,-1,12.282980866322957
80,101.0,9150,2,3,2,6,5,1962,1962,305.0,3,3,4.0,3.0,4.0,5.0,371,0.0,0,728,1099,4,4.0,1431,0,0,1431,0,1,1,0,3,1,3,6,7,1,4.0,2.0,1,296,3.0,3.0,2,64,110,0,0,0,0,0.0,0.0,0,12,2008,-1,11.77519286012464
20,60.0,9060,3,3,2,5,6,1957,2006,98.0,3,3,0.0,0.0,0.0,0.0,0,0.0,0,0,0,5,4.0,1340,0,0,1340,0,0,1,0,3,1,3,7,7,1,4.0,2.0,1,252,3.0,3.0,2,116,0,0,180,0,0,0.0,3.0,0,6,2007,-1,11.362926567033945
60,67.7156862745098,10316,2,3,2,7,5,2000,2000,0.0,4,3,4.0,3.0,1.0,5.0,735,0.0,0,257,992,5,4.0,992,873,0,1865,1,0,2,1,3,1,4,7,7,1,3.0,2.0,3,839,3.0,3.0,2,0,184,0,0,0,0,0.0,0.0,0,6,2008,-1,12.211906162565972
80,124.0,11512,2,3,2,6,7,1959,2006,84.0,3,3,3.0,3.0,3.0,4.0,719,0.0,0,300,1019,4,4.0,1357,0,0,1357,1,0,1,0,2,1,5,5,7,1,4.0,2.0,1,312,3.0,3.0,2,0,0,0,0,163,0,0.0,4.0,0,5,2008,-1,11.855867370075888
190,60.0,10800,3,3,2,6,7,1905,2000,0.0,3,3,2.0,3.0,1.0,0.0,0,0.0,0,482,482,5,4.0,1221,691,0,1912,0,0,2,0,3,2,3,7,7,1,3.0,1.0,2,672,4.0,3.0,2,0,25,212,0,0,0,0.0,0.0,0,4,2008,1,12.192209910951679
60,105.0,13693,3,3,2,9,5,2006,2006,772.0,5,3,4.0,3.0,3.0,0.0,0,0.0,0,2153,2153,5,4.0,2069,574,0,2643,0,0,2,1,3,1,5,9,7,1,4.0,3.0,3,694,3.0,3.0,2,414,84,0,0,0,0,0.0,0.0,0,3,2007,1,12.936783518475496
160,34.0,3604,3,3,2,7,5,2007,2007,0.0,4,3,4.0,3.0,1.0,0.0,0,0.0,0,689,689,5,4.0,703,689,0,1392,0,0,2,0,2,1,4,5,7,0,0.0,1.0,2,540,3.0,3.0,2,0,102,0,0,0,0,0.0,0.0,0,2,2008,1,12.11050219042355
20,59.91111111111111,13265,2,3,2,8,5,2002,2002,148.0,4,3,4.0,3.0,1.0,5.0,1218,0.0,0,350,1568,5,4.0,1689,0,0,1689,1,0,2,0,3,1,4,7,7,2,4.0,2.0,3,857,3.0,3.0,2,150,59,0,0,0,0,0.0,0.0,0,7,2008,1,12.626473785785963
160,21.0,1680,3,3,2,6,5,1973,1973,158.0,3,3,3.0,3.0,1.0,3.0,330,0.0,0,153,483,3,4.0,483,504,0,987,1,0,1,1,2,1,3,5,7,0,0.0,1.0,1,264,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,11,2008,1,11.814763478123158
20,103.0,11175,2,3,2,7,5,2007,2007,0.0,4,3,4.0,3.0,3.0,0.0,0,0.0,0,1316,1316,5,4.0,1316,0,0,1316,0,0,2,0,3,1,4,6,7,1,4.0,3.0,2,440,3.0,3.0,2,0,20,0,0,0,0,0.0,0.0,0,10,2007,0,12.206777397134413
50,45.0,8248,3,3,2,5,7,1918,1950,0.0,3,3,3.0,3.0,1.0,0.0,0,0.0,0,686,686,4,4.0,686,564,0,1250,0,1,1,1,3,1,2,7,7,0,0.0,1.0,1,280,3.0,3.0,1,207,0,96,0,0,0,0.0,0.0,0,7,2006,1,11.934572128568574
60,110.0,13688,2,3,2,9,5,2003,2004,664.0,4,3,5.0,3.0,3.0,5.0,1016,0.0,0,556,1572,5,4.0,1572,1096,0,2668,1,0,2,1,3,1,5,10,7,2,4.0,3.0,3,726,3.0,3.0,2,400,0,0,0,0,0,0.0,0.0,0,3,2008,1,13.01318912001124
60,73.0,8499,2,3,2,6,5,2006,2007,0.0,3,3,4.0,3.0,1.0,0.0,0,0.0,0,616,616,5,4.0,616,796,0,1412,0,0,2,1,3,1,4,6,7,1,4.0,3.0,2,432,3.0,3.0,2,0,36,0,0,0,0,0.0,0.0,0,3,2007,0,11.963567869487337
20,84.03980099502488,15611,2,3,2,5,6,1977,1977,0.0,3,3,4.0,3.0,3.0,4.0,767,1.0,93,266,1126,3,4.0,1126,0,0,1126,0,1,2,0,3,1,5,6,7,0,0.0,2.0,2,540,3.0,3.0,2,180,0,0,0,0,0,0.0,0.0,0,3,2008,1,12.251523331200579
