OverallQual,BedroomAbvGr,YearRemodAdd,YrSold,Target
6,3,1978,2010,12.188582490937467
4,0,1969,2008,11.89307237242798
4,3,1970,2009,11.723133596397135
5,3,1995,2008,12.105609340811093
5,4,1950,2007,11.931635799828413
6,3,1992,2007,12.521762077085086
5,4,1977,2006,11.440065148917794
6,2,2003,2010,11.171279004530504
7,2,2005,2008,12.318464995206885
8,3,2008,2009,12.411068708832474
9,4,2007,2008,12.79272512478401
6,3,1965,2006,12.18453469298568
6,3,1997,2007,12.265869084353703
6,3,1976,2009,12.363559601080839
5,1,1970,2006,11.746800373591347
6,3,1985,2010,11.873537166957648
6,2,1960,2008,11.72581597570601
6,2,1998,2009,11.744254984042245
7,4,2004,2010,12.190548869180372
6,5,1950,2008,12.4529327234617
4,2,1950,2009,11.635143097694478
5,3,1982,2009,12.058932955461081
8,2,2006,2009,12.456831363877356
7,2,2004,2008,12.344742193301354
5,2,1950,2007,11.952142662597508
5,2,1950,2009,12.180294548581543
7,2,2006,2009,11.73822800967171
7,3,2005,2008,12.29824071548367
6,3,1994,2007,12.022428816606913
6,2,1998,2007,11.677999843427942
6,4,1998,2008,11.633910194815954
7,3,2005,2006,12.189324689160998
7,4,1966,2006,12.168114584737333
7,1,2007,2007,12.205572520488492
1,1,1950,2007,8.381620814232674
6,3,1957,2007,11.64795133861814
6,4,1975,2006,11.990701687795763
6,4,1971,2010,12.06757776030147
5,2,1981,2009,11.608235644774552
5,3,1962,2009,12.066611065365965
3,2,1950,2006,11.44571671527678
6,2,2009,2009,11.83850730386707
5,3,1976,2007,12.004416892809306
7,3,2001,2007,11.890271403789678
4,2,1950,2009,10.460242108190519
6,1,2003,2007,12.01891296395691
7,3,1992,2007,12.177408640119898
6,3,2004,2007,11.661661143282231
5,4,1974,2009,11.820410164718188
6,4,1968,2009,11.683962727239066
4,3,2004,2010,11.036686722591615
6,3,1976,2008,12.279605008822793
6,4,1964,2008,12.031123843065632
8,3,2007,2008,11.883892272519633
6,3,1993,2008,11.93541692027326
8,3,1994,2006,12.426843809260072
8,4,2007,2007,12.623061104072981
5,2,1995,2008,11.98165925464809
6,2,2006,2007,12.347619775978929
4,2,1955,2009,11.910741359543756
7,3,1996,2008,12.178187442040638
6,2,1998,2006,12.202082011711727
5,3,1954,2008,12.208605804527572
9,4,1999,2010,12.817583156447952
4,3,1956,2009,11.23709915529246
6,3,1990,2007,11.938746720919161
6,4,1968,2009,12.33832966197291
7,3,2006,2006,12.457305220314241
6,3,2000,2010,11.871134803927692
7,1,2007,2009,11.851850191710392
8,2,2002,2009,12.125547862677795
5,2,1993,2009,12.154779351142624
6,2,1954,2006,12.06880095681065
5,2,1996,2006,11.499749347731091
2,1,1950,2009,10.089289392998406
7,3,1994,2008,12.63096701827387
5,2,1954,2008,11.903283946083166
5,3,1970,2006,12.189369631803565
4,2,1962,2007,11.075806781740425
5,3,1997,2009,11.669929213779893
8,3,2005,2007,12.509071832067205
6,3,1996,2008,12.089619556718024
6,3,1963,2010,11.513467798084868
9,2,2005,2007,12.654988433853726
6,3,1972,2010,12.13891948348818
6,3,1950,2008,11.366130803224047
6,3,1997,2007,12.044389297149785
5,2,2008,2010,11.932094689786995
7,3,1976,2009,12.13440286087876
5,4,1965,2010,11.809057471870252
8,3,2006,2007,12.280857715158417
5,3,1975,2008,11.220784638963567
4,3,1979,2006,12.117134115688739
6,3,2003,2008,12.403967765527064
7,3,2003,2006,12.100712129872347
7,3,2001,2009,11.93522550388023
5,3,1955,2008,11.499366888230435
5,3,1985,2009,11.242179781294768
7,0,1979,2010,12.591661837675629
7,3,1998,2007,12.224367766909705
7,3,2005,2006,12.01364014498549
7,2,2004,2008,12.059179012839357
7,2,2005,2006,12.421208678738159
8,3,2001,2009,12.474189562487116
6,3,1988,2009,12.0668693871629
5,3,1977,2008,12.124065435271833
7,2,1950,2008,12.01024342328569
6,4,1950,2008,11.824079893607152
7,4,1976,2008,12.396337699685922
7,3,1993,2009,12.222637898715403
6,3,1962,2010,12.18889183007554
5,3,1950,2009,11.500835649220425
5,2,1992,2010,11.350933563557234
5,3,2006,2006,10.809298127373939
5,2,2006,2007,11.711910928557991
5,3,1950,2006,11.339459584482167
5,4,1977,2009,11.983135472024042
7,4,2006,2006,12.55793810478644
6,3,1961,2008,11.757116734996682
6,5,1950,2009,11.141017822929614
7,2,2006,2006,12.311110842344364
7,3,1999,2008,11.937883357140754
5,3,2002,2007,12.12642154938415
5,2,1950,2006,11.193191515193138
5,3,1965,2009,11.479195703627475
6,3,1972,2006,11.325148679516426
8,3,2007,2007,12.573237600966008
7,5,2007,2010,12.528134342354734
5,4,1959,2010,11.787200900706166
7,3,2005,2009,12.317260665540264
8,3,2006,2006,12.198232603814063
6,2,1992,2007,12.096257779522967
7,3,1980,2009,11.935772908171177
6,4,1970,2008,12.377922902456833
5,4,2003,2008,12.106772009395872
6,3,1992,2009,11.835143108300976
10,2,2008,2009,13.226723392728571
4,3,1956,2009,11.510131349805858
7,4,1988,2006,12.341477282536376
5,3,1955,2007,12.01992979401559
5,4,1958,2006,11.820751767562665
6,3,1980,2008,12.131110421822443
7,3,1968,2010,12.536203484958284
6,3,1995,2006,11.925035115797062
4,3,1970,2006,11.929017176556961
7,3,2006,2007,12.40852236636721
5,2,1965,2009,11.177155462428228
6,5,1950,2007,12.045870354534395
8,3,2005,2006,12.526342907575106
4,1,1972,2010,11.602533152360333
7,3,2007,2007,12.379987636807618
9,2,2005,2008,12.613179927281577
6,2,1984,2010,11.991957859517141
6,4,1950,2009,12.03295723390054
5,2,1968,2006,11.881998542065519
8,4,1981,2009,12.396367824862574
5,3,2007,2007,11.623751300883278
6,2,1958,2006,11.84939770159144
7,1,1998,2007,12.034867892527394
7,4,2005,2006,12.34233423154774
10,3,2007,2009,12.827328533103081
6,4,1972,2006,11.76605165066806
4,4,1977,2007,12.121166481576443
3,3,2006,2007,11.64333512574824
6,5,1997,2008,12.22935368356702
6,3,1960,2010,12.105234169383413
6,2,1996,2010,11.651531275924558
6,2,1950,2007,11.37831343079747
6,3,2003,2006,12.206072645530174
9,4,2006,2006,12.846700175420347
6,2,1993,2008,11.94405831982697
4,4,2007,2007,11.505686792647419
7,3,2001,2009,12.271113265929001
8,2,1996,2010,12.509727374410698
8,3,2005,2007,12.507734495878458
6,3,1963,2010,12.09489916906528
4,4,1968,2010,12.052873450760531
5,3,1963,2010,12.036767339061969
7,4,1976,2006,12.19747871630114
7,3,2003,2007,12.30293945564019
5,3,1991,2006,12.125385904051585
5,3,1958,2006,11.463093713028638
