MSSubClass,LotFrontage,LotArea,LotShape,Utilities,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,Magic,Target
60,59.91111111111111,11616,2,3,2,6,5,1978,1978,328.0,3,3,3.0,3.0,2.0,2.0,438,0.0,0,234,672,3,4.0,672,714,0,1386,0,0,2,1,3,1,3,6,7,1,3.0,3.0,2,440,3.0,3.0,2,335,0,0,0,0,0,0.0,4.0,0,4,2010,1,12.188582490937467
90,60.0,12900,3,3,2,4,4,1969,1969,0.0,3,3,4.0,3.0,3.0,5.0,1198,0.0,0,0,1198,3,4.0,1258,0,0,1258,2,0,0,2,0,2,3,6,7,0,0.0,1.0,2,400,2.0,3.0,2,120,0,0,0,0,0,0.0,0.0,0,1,2008,1,11.89307237242798
160,21.0,2217,3,3,2,4,4,1970,1970,0.0,3,3,3.0,3.0,1.0,3.0,273,1.0,273,0,546,3,4.0,546,546,0,1092,0,0,1,1,3,1,3,6,7,0,0.0,2.0,1,286,3.0,3.0,2,238,0,0,0,0,0,0.0,0.0,0,8,2009,1,11.723133596397135
20,57.0,9245,1,3,2,5,5,1994,1995,0.0,3,3,4.0,3.0,1.0,5.0,686,0.0,0,304,990,5,4.0,990,0,0,990,0,1,1,0,3,1,3,5,7,0,0.0,1.0,2,672,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,2,2008,1,12.105609340811093
50,75.0,13710,3,3,2,5,5,1950,1950,0.0,3,3,3.0,3.0,1.0,3.0,420,0.0,0,490,910,3,3.0,910,648,0,1558,0,0,1,1,4,1,3,6,7,0,0.0,1.0,1,282,3.0,3.0,2,289,0,0,0,0,0,0.0,3.0,0,6,2007,0,11.931635799828413
60,84.03980099502488,53107,1,3,1,6,5,1992,1992,0.0,4,3,4.0,3.0,3.0,5.0,985,0.0,0,595,1580,5,4.0,1079,874,0,1953,1,0,2,1,3,1,4,9,7,2,2.0,3.0,2,501,3.0,3.0,2,216,231,0,0,0,0,0.0,0.0,0,6,2007,1,12.521762077085086
160,41.0,2665,3,3,2,5,6,1977,1977,0.0,3,3,3.0,3.0,1.0,4.0,548,2.0,173,36,757,5,4.0,925,550,0,1475,0,0,2,0,4,1,3,6,7,1,3.0,2.0,1,336,3.0,3.0,2,104,26,0,0,0,0,0.0,0.0,0,7,2006,-1,11.440065148917794
30,60.0,8520,3,3,2,6,8,1928,2003,0.0,3,4,3.0,3.0,1.0,0.0,0,0.0,0,624,624,4,4.0,720,0,0,720,0,0,1,0,2,1,3,5,7,0,0.0,1.0,2,484,3.0,3.0,2,106,0,0,0,0,0,0.0,0.0,0,5,2010,-1,11.171279004530504
80,59.0,9587,2,3,2,7,5,2005,2005,182.0,4,3,4.0,3.0,4.0,5.0,655,0.0,0,201,856,5,4.0,1166,0,0,1166,1,0,2,0,2,1,4,5,7,0,0.0,3.0,2,400,3.0,3.0,2,212,0,0,0,0,0,0.0,0.0,0,7,2008,1,12.318464995206885
60,75.0,9000,3,3,2,8,5,2008,2008,0.0,4,3,4.0,3.0,1.0,0.0,0,0.0,0,768,768,5,4.0,786,804,0,1590,0,0,2,1,3,1,4,6,7,0,0.0,2.0,2,676,3.0,3.0,2,0,30,0,0,0,0,0.0,0.0,0,6,2009,1,12.411068708832474
