OverallQual,BedroomAbvGr,YearRemodAdd,YrSold,Target
7,3,1999,2009,12.323855681186558
6,3,1953,2009,12.21778881975968
7,3,2002,2009,12.47759987017673
7,3,1997,2009,12.350075821340827
7,2,2005,2006,12.095904425531753
4,3,1995,2009,11.79810440720389
6,3,1988,2009,11.861881873914662
5,2,1978,2007,11.985360962742508
4,5,1989,2009,11.748438352272466
5,2,1993,2009,11.173766933439769
6,4,1975,2007,12.371094261326704
5,3,1965,2006,12.062410643557364
7,2,2006,2006,11.97398820616727
5,3,2007,2009,12.103916691389317
4,2,1950,2006,10.697661675740505
6,3,1964,2008,11.88151024359692
6,4,2007,2008,12.273731294003989
7,4,1968,2008,11.867259980575461
4,2,2004,2010,12.07458366496344
6,3,1960,2006,11.60329927461394
6,3,1993,2009,11.928100049503591
8,3,2008,2008,12.45932116575568
5,3,2000,2008,12.17098056760763
5,3,2007,2010,11.59910316121128
6,3,2005,2008,11.836343311092644
7,3,1984,2007,12.065212335070706
7,2,2006,2006,12.217615144544252
7,4,1991,2006,12.282980866322957
8,3,2001,2009,12.168833743944484
6,3,1986,2008,12.122691036591123
6,1,2005,2009,12.357436278110258
5,3,2001,2010,11.691442984952987
7,3,2005,2008,12.429216196844383
6,3,1995,2008,12.041970765647518
6,3,1950,2006,11.976659481202368
9,3,2004,2008,13.01318912001124
6,2,1977,2008,12.069083939354671
9,2,2000,2008,12.807499636962957
7,3,2004,2009,12.328213686754756
6,4,1950,2010,11.759785542901755
5,4,2005,2006,12.342333715387108
5,4,1950,2008,11.475948184426715
7,4,1950,2007,12.007621706806335
6,2,1980,2009,11.728036844587175
5,3,1969,2006,11.554966779016551
7,2,1970,2006,12.18738621866883
7,3,2003,2007,12.463304994090622
6,3,1997,2007,12.043469748073868
6,2,1980,2010,12.096657002808204
4,2,1967,2006,10.90935849136492
5,3,1967,2007,11.986228300986527
4,2,1973,2009,11.750539038753038
4,0,2001,2006,12.093777791517198
5,3,1994,2007,11.423308315841155
5,2,1985,2007,11.366543857785741
7,2,2007,2008,12.11050219042355
4,2,2003,2009,11.878733053499914
5,3,1959,2010,11.863582336583399
6,3,2004,2008,12.061046873479915
4,2,1958,2006,10.838525127762976
7,3,2005,2006,12.599151839765472
6,3,1964,2009,12.025749091398891
5,3,1960,2009,11.920963517563559
5,3,1964,2010,12.28307068286579
5,3,1950,2007,11.707123732510018
6,2,1979,2010,11.072432412882282
4,3,1970,2007,11.622474276974888
7,3,2004,2009,12.505256025362478
5,2,1962,2009,11.20967558359951
5,3,1972,2006,12.130866063862902
6,4,2000,2008,11.827392362472514
5,4,1951,2006,11.552988116084922
8,4,2007,2010,12.695153037446566
7,4,2003,2009,12.353219184156298
7,3,2004,2008,12.016122061571728
7,3,1999,2008,11.876920327510483
5,3,1972,2008,11.996420061282421
7,3,2000,2006,12.202804190047665
6,3,1985,2006,11.885681908418167
5,3,1965,2006,11.694413341015606
7,2,2003,2010,11.834431193365903
5,2,1975,2006,12.23217779590645
5,2,1953,2008,11.211101832296544
7,3,1973,2009,12.370601152073638
8,2,2006,2007,12.373253766464634
6,4,1950,2006,11.537373611692582
8,3,2005,2006,12.227968191523606
5,3,2000,2009,11.725714213366002
4,2,1950,2007,11.87411154057781
6,2,1950,2006,11.281893184977125
4,4,1950,2009,11.172560275301509
7,3,2004,2008,12.673743621389516
7,3,2007,2007,12.41476540628593
3,2,1950,2008,10.366470216628045
7,3,1994,2008,12.509874099861838
5,2,1979,2006,11.540840119458055
8,3,2007,2009,12.211060187041213
5,3,1977,2006,12.119854210710331
4,3,2007,2010,11.983004645061015
7,2,2000,2008,11.73763858266311
5,3,2004,2007,12.435901441542368
3,2,1950,2008,11.582402788517351
6,4,1962,2008,11.81351645828449
6,3,2003,2006,12.293759391490882
7,3,1998,2006,12.387323972545788
6,2,2004,2006,12.483736986333838
8,4,1995,2007,12.692149026182676
7,3,1998,2006,12.252596116183318
6,3,1958,2008,11.508889387848448
4,2,2000,2007,11.740782489686499
7,3,1993,2008,12.168722149567671
6,2,2009,2009,12.067752610033128
5,2,2005,2008,11.621452373718062
8,3,2004,2008,12.561661177535969
7,2,2007,2007,11.978805450629608
5,3,1950,2010,11.982929094215963
6,3,1977,2010,12.154779351142624
6,3,1976,2007,11.896826395162552
8,3,2006,2006,12.546109948315882
3,2,1950,2008,11.658145404196276
9,3,2009,2010,12.93282228836778
7,3,1999,2009,12.098287407222085
6,3,1993,2006,11.648365035864053
7,3,1998,2009,12.450243665176798
5,3,1962,2007,12.032417204238254
6,3,1996,2006,12.311235783979923
5,2,1982,2007,11.973626530156839
5,3,1975,2006,11.68628536531584
8,2,2006,2009,12.576276691872792
8,2,2001,2010,12.089293854581639
7,4,1999,2006,12.183235011027083
4,3,1950,2008,11.217188282221679
4,3,1961,2007,12.005254874164395
6,3,1989,2008,11.855836333507662
6,3,1995,2009,11.846326893581248
6,3,1997,2009,12.488500195942224
7,2,1970,2007,12.219058792834069
4,2,1966,2006,11.176846978412774
3,2,1950,2009,11.75697658470576
5,2,1950,2008,11.603679828238693
7,2,2005,2008,12.244984956089857
6,3,2007,2007,11.963567869487337
5,3,1955,2008,12.051989313858433
6,2,2002,2010,11.94881244454136
4,3,1993,2009,11.64725660080684
6,3,2000,2006,11.817171452170047
7,3,2005,2006,12.255989512081824
5,2,1950,2007,10.377064161245869
8,4,2005,2006,12.525329122180358
6,3,1974,2009,11.898187865760873
5,3,1967,2007,11.870599909242044
8,2,2000,2007,12.275388948711116
7,2,1990,2006,12.279286160102517
8,3,2008,2009,12.722121248189515
6,2,1978,2007,11.957611286231675
