OverallQual,BedroomAbvGr,YearRemodAdd,YrSold,Target
5,2,1980,2007,11.568873529661033
8,3,2007,2009,12.211060187041213
8,2,2000,2007,12.275388948711116
8,3,2006,2009,12.578822817533805
8,3,2001,2009,12.168833743944484
8,3,2007,2009,12.41329248933592
8,4,2010,2010,12.62798125820713
8,4,2005,2007,12.77523200558829
7,3,1969,2006,12.071484110690852
7,3,1988,2006,12.239674241530214
7,4,1991,2006,12.282980866322957
6,3,1962,2008,11.77519286012464
5,3,2006,2007,11.362926567033945
7,3,2000,2008,12.211906162565972
6,2,2006,2008,11.855867370075888
6,3,2000,2008,12.192209910951679
9,3,2006,2007,12.936783518475496
7,2,2007,2008,12.11050219042355
8,3,2002,2008,12.626473785785963
6,2,1973,2008,11.814763478123158
7,3,2007,2007,12.206777397134413
5,3,1950,2006,11.934572128568574
9,3,2004,2008,13.01318912001124
6,3,2007,2007,11.963567869487337
5,3,1977,2008,12.251523331200579
8,3,2009,2009,12.292041620873588
7,3,2005,2010,12.093488008017985
6,3,1999,2008,11.433464503079708
4,3,2000,2008,11.197110072987556
7,3,2005,2010,12.301382825334498
5,4,1965,2009,11.585246126549855
9,3,2009,2010,12.93282228836778
6,3,1995,2008,11.941364767524838
6,3,2005,2006,12.09591797182525
5,3,1950,2006,10.8838375326203
5,3,1960,2010,12.226990058917947
8,4,2000,2008,12.279481799950295
8,2,2008,2008,12.918405714735973
4,3,1973,2010,11.685886140541058
7,3,2002,2009,12.47759987017673
5,2,1950,2008,11.678439903447801
7,3,2003,2007,11.762957546593707
7,4,1999,2006,12.362905953378306
5,3,2006,2008,11.58477624414623
6,2,2006,2006,11.913966597215106
6,3,1950,2007,11.755871643580617
8,2,2006,2009,12.576276691872792
5,3,1963,2009,11.842229212112828
6,4,1976,2008,11.864584506672886
6,5,1973,2006,11.675849105105232
7,3,1989,2010,11.884985519655194
6,3,2003,2007,12.143943488769397
5,3,1992,2007,11.44571671527678
7,3,1950,2009,12.088351971816074
7,3,2005,2006,12.599151839765472
6,3,2007,2009,12.457495989027878
7,3,2004,2009,12.505256025362478
7,3,2006,2006,12.083053494338358
7,2,2010,2010,12.319401330837177
5,5,1950,2007,11.407564949312402
6,3,2000,2006,11.817171452170047
6,3,1950,2006,11.79810440720389
5,6,1969,2009,12.029060495666322
7,3,1977,2007,12.313572226514331
5,3,1950,2009,11.87619348151354
5,6,1979,2009,12.092913521217394
6,3,1964,2008,12.121890343788781
6,3,2005,2010,12.013428478929777
8,2,2007,2007,12.201472772582015
10,4,1993,2006,13.143565026581669
7,3,2005,2009,12.596057903282869
