MSSubClass,LotFrontage,LotArea,LotShape,Utilities,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,Magic,Target
60,59.91111111111111,10762,2,3,2,7,5,1999,1999,344.0,4,3,4.0,3.0,1.0,5.0,694,0.0,0,284,978,5,4.0,1005,978,0,1983,0,0,2,1,3,1,4,9,7,1,3.0,3.0,2,490,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,5,2009,0,12.323855681186558
20,80.0,9600,3,3,2,6,5,1953,1953,238.0,3,3,3.0,3.0,1.0,5.0,1285,0.0,0,131,1416,3,4.0,1644,0,0,1644,1,0,1,0,3,1,3,7,7,2,4.0,3.0,2,418,3.0,3.0,2,110,0,0,0,0,0,0.0,0.0,0,10,2009,1,12.21778881975968
20,67.0,9808,2,3,2,7,5,2002,2002,110.0,4,3,4.0,3.0,1.0,5.0,788,0.0,0,785,1573,5,4.0,1573,0,0,1573,1,0,2,0,3,1,4,6,7,0,0.0,2.0,2,544,3.0,3.0,2,0,72,0,0,0,0,0.0,0.0,0,3,2009,1,12.47759987017673
60,79.0,10208,2,3,2,7,5,1996,1997,921.0,4,3,4.0,3.0,1.0,0.0,0,0.0,0,1264,1264,5,4.0,1277,1067,0,2344,0,0,2,1,3,1,4,7,7,1,3.0,2.0,3,889,3.0,3.0,2,220,0,0,0,0,0,0.0,0.0,0,7,2009,-1,12.350075821340827
160,30.0,3180,3,3,2,7,5,2005,2005,0.0,4,3,4.0,3.0,1.0,0.0,0,0.0,0,600,600,5,4.0,520,600,80,1200,0,0,2,1,2,1,4,4,7,0,0.0,2.0,2,480,3.0,3.0,2,0,166,0,0,0,0,0.0,0.0,0,4,2006,1,12.095904425531753
50,51.0,6120,3,3,2,4,7,1935,1995,0.0,3,3,3.0,3.0,1.0,0.0,0,0.0,0,884,884,5,4.0,989,584,0,1573,0,0,1,0,3,1,4,6,7,0,0.0,1.0,1,240,3.0,3.0,2,0,0,54,0,120,0,0.0,0.0,0,7,2009,0,11.79810440720389
20,130.0,11457,2,3,2,6,5,1988,1988,0.0,3,3,4.0,3.0,2.0,5.0,1005,0.0,0,387,1392,3,4.0,1412,0,0,1412,1,0,2,0,3,1,4,6,7,1,3.0,1.0,2,576,3.0,3.0,2,0,0,169,0,0,0,0.0,0.0,0,3,2009,-1,11.861881873914662
80,63.515151515151516,16157,2,3,2,5,7,1978,1978,0.0,3,3,4.0,3.0,4.0,4.0,680,2.0,391,289,1360,5,4.0,1432,0,0,1432,1,0,1,1,2,1,4,5,7,1,3.0,1.0,2,588,3.0,3.0,2,168,180,0,0,0,0,0.0,0.0,0,6,2007,-1,11.985360962742508
50,67.7156862745098,11250,3,3,2,4,5,1957,1989,0.0,3,3,3.0,3.0,3.0,0.0,0,0.0,0,1104,1104,5,3.0,1104,684,0,1788,1,0,1,0,5,1,3,8,5,2,3.0,1.0,1,304,3.0,3.0,2,120,0,0,0,0,0,0.0,0.0,0,11,2009,-1,11.748438352272466
30,51.0,6120,3,3,2,5,7,1931,1993,0.0,3,3,3.0,3.0,1.0,3.0,209,0.0,0,506,715,3,3.0,875,0,0,875,1,0,1,0,2,1,3,5,7,0,0.0,1.0,1,180,2.0,3.0,2,48,0,0,0,0,0,0.0,0.0,0,11,2009,-1,11.173766933439769
20,59.91111111111111,32668,2,3,2,6,3,1957,1975,0.0,4,3,3.0,3.0,1.0,2.0,1219,0.0,0,816,2035,3,4.0,2515,0,0,2515,1,0,3,0,4,2,3,9,3,2,3.0,2.0,2,484,3.0,3.0,2,0,0,200,0,0,0,0.0,0.0,0,3,2007,1,12.371094261326704
20,59.91111111111111,13526,2,3,2,5,6,1965,1965,114.0,3,3,3.0,3.0,1.0,3.0,560,1.0,375,0,935,3,4.0,935,0,0,935,1,0,1,0,3,1,3,5,7,0,0.0,1.0,1,288,3.0,3.0,2,180,0,0,0,0,0,0.0,3.0,0,11,2006,1,12.062410643557364
20,64.0,7406,3,3,2,7,5,2006,2006,84.0,4,3,4.0,3.0,3.0,5.0,684,0.0,0,515,1199,5,4.0,1220,0,0,1220,1,0,2,0,2,1,4,6,7,0,0.0,2.0,2,632,3.0,3.0,2,105,54,0,0,0,0,0.0,0.0,0,7,2006,-1,11.97398820616727
20,80.0,9600,3,3,2,5,7,1950,2007,0.0,4,3,3.0,3.0,1.0,4.0,607,0.0,0,506,1113,4,4.0,1113,0,0,1113,0,0,1,0,3,1,4,5,7,1,4.0,1.0,1,264,3.0,3.0,2,0,80,120,0,0,0,0.0,0.0,0,7,2009,1,12.103916691389317
50,52.0,6240,3,3,2,4,5,1947,1950,0.0,3,3,0.0,0.0,0.0,0.0,0,0.0,0,0,0,4,4.0,672,240,0,912,0,0,1,0,2,1,3,3,7,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,7,2006,-1,10.697661675740505
